Summary,Method
"<summary>
字符串操作类
1、GetStrArray(string str, char speater, bool toLower)  把字符串按照分隔符转换成 List
2、GetStrArray(string str) 把字符串转 按照, 分割 换为数据
3、GetArrayStr(List list, string speater) 把 List 按照分隔符组装成 string
4、GetArrayStr(List list)  得到数组列表以逗号分隔的字符串
5、GetArrayValueStr(Dictionary<int, int> list)得到数组列表以逗号分隔的字符串
6、DelLastComma(string str)删除最后结尾的一个逗号
7、DelLastChar(string str, string strchar)删除最后结尾的指定字符后的字符
8、ToSBC(string input)转全角的函数(SBC case)
9、ToDBC(string input)转半角的函数(SBC case)
10、GetSubStringList(string o_str, char sepeater)把字符串按照指定分隔符装成 List 去除重复
11、GetCleanStyle(string StrList, string SplitString)将字符串样式转换为纯字符串
12、GetNewStyle(string StrList, string NewStyle, string SplitString, out string Error)将字符串转换为新样式
13、SplitMulti(string str, string splitstr)分割字符串
14、SqlSafeString(string String, bool IsDel)
</summary>","public static List<string> GetStrArray(string str, char speater, bool toLower)
        {
            List<string> list = new List<string>();
            string[] ss = str.Split(speater);
            foreach (string s in ss)
            {
                if (!string.IsNullOrEmpty(s) && s != speater.ToString())
                {
                    string strVal = s;
                    if (toLower)
                    {
                        strVal = s.ToLower();
                    }
                    list.Add(strVal);
                }
            }
            return list;
        }"
"<summary>
Create the CAPTCHA specified Length, Sleep and List.
</summary>","private static string Create(int Length, bool Sleep, char[] List)
		{
			if (Sleep) Thread.Sleep(3);
			char[] Pattern = List;
			string result = string.Empty;
			int n = Pattern.Length;
			for (int i = 0; i < Length; i++)
			{
				int rnd = Random.Next(0, n);
				result += Pattern[rnd];
			}
			return result;
		}"
"<summary>
讲枚举绑定在DropDownList上
</summary>","public static void BindDropDownList_Replace(DropDownList list, Type TypeEnum)
       {
           List<ListItem> TypeList = new List<ListItem>();
           foreach (object type in Enum.GetValues(TypeEnum))
           {
               string str=type.ToString();
               if (str.Contains('N') || str.Contains('D') || str.Contains('G')||str.Contains('M')||str.Contains('Q'))
               {
                   str=str.Replace(""N"", ""$"");
                   str=str.Replace(""D"", "","");
                   str=str.Replace(""G"", "" - "");
                   str = str.Replace(""M"", ""."");
                   str = str.Replace(""Q"", """");
               }
               TypeList.Add(new ListItem(str, ((int)type).ToString()));
           }
           list.DataSource = TypeList;
           list.DataTextField = ""text"";
           list.DataValueField = ""value"";
           list.DataBind();
       }"
"<summary>
This command represents the Pop3 RSET command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Rset);
        }"
"<summary>
This class represents both the multiline and single line Pop3 LIST command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            string requestMessage = Pop3Commands.List;
            if (!IsMultiline)
            {
                requestMessage += _messageId.ToString();
            } 
            return GetRequestMessage(requestMessage, Pop3Commands.Crlf);
        }"
"<summary>
Creates the response.
</summary>","protected override ListResponse CreateResponse(byte[] buffer)
        {
            Pop3Response response = Pop3Response.CreateResponse(buffer);
            List<Pop3ListItem> items;
            if (IsMultiline)
            {
                items = new List<Pop3ListItem>();
                string[] values;
                string[] lines = GetResponseLines(StripPop3HostMessage(buffer, response.HostMessage));
                foreach (string line in lines)
                {
                    values = line.Split(' ');
                    if (values.Length < 2)
                    {
                        throw new Pop3Exception(string.Concat(""Invalid line in multiline response:  "", line));
                    }
                    items.Add(new Pop3ListItem(Convert.ToInt32(values[0]),
                        Convert.ToInt64(values[1])));
                }
            } 
            else
            {
                items = new List<Pop3ListItem>(1);
                string[] values = response.HostMessage.Split(' ');
                if (values.Length < 3)
                {
                    throw new Pop3Exception(string.Concat(""Invalid response message: "", response.HostMessage));
                }
                items.Add(new Pop3ListItem(Convert.ToInt32(values[1]), Convert.ToInt64(values[2])));
            } 
            return new ListResponse(response, items);
        }"
"<summary>
This command represents a Pop3 USER command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.User, _username, Pop3Commands.Crlf);
        }"
"<summary>
This class represents the Pop3 QUIT command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Quit);
        }"
"<summary>
This class represents the Pop3 PASS command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Pass, _password, Pop3Commands.Crlf);
        }"
"<summary>
This class represents the Pop3 STAT command.
</summary>","protected override byte[] CreateRequestMessage()
        {
            return GetRequestMessage(Pop3Commands.Stat);
        }"
